"run","mode","round","response","receivedAtMs","socketGeneration","globalRegionEndMs","globalLatestWordEndMs","latestProviderConfirmedAudioMs","providerRegionLagMs","latestWordLagMs","audioLiveEdgeLagMs","legacyLatestChunkToMessageMs","isFinal","speechFinal"
"1","v2_only","1","1","1117","1","1040","960","1040","76","142","80","76","false","false"
"1","v2_only","1","2","2200","1","2080","1920","2080","109","279","160","31","false","false"
"1","v2_only","1","3","3188","1","3120","2960","3120","65","228","80","66","false","false"
"1","v2_only","1","4","4236","1","4160","4080","4160","73","152","80","74","false","false"
"1","v2_only","1","5","4647","1","4530","4240","4530","161","400","190","5","true","true"
"1","v2_only","1","6","5676","1","5599.9997","5250","5599.9997","69","469","80","69","false","false"
"1","v2_only","1","7","6711","1","6639.9997","6450.0003","6639.9997","69","308","80","69","false","false"
"1","v2_only","1","8","7759","1","7679.9996","7570","7679.9996","70","234","80","69","false","false"
"1","v2_only","1","9","8801","1","8720","8530.001","8720","80","317","160","1","false","false"
"1","v2_only","1","10","9687","1","8720","8530.001","8720","966","1204","1040","7","true","false"
"1","v2_only","1","11","9842","1","9760","9520","9760","78","317","160","1","false","false"
"1","v2_only","1","12","10885","1","10800","10640","10800","84","243","80","84","false","false"
"1","v2_only","1","13","12077","1","11970","11440.001","11970","153","636","110","70","true","true"
"1","v2_only","1","14","13119","1","13039.9997","12930","13039.9997","79","235","80","79","false","false"
"1","v2_only","1","15","14159","1","14079.9997","14050","14079.9997","78","157","80","78","false","false"
"1","v2_only","1","16","14565","1","14479.9993","14130","14479.9993","82","484","160","0","false","false"
"1","v2_only","1","17","15626","1","15520.0002","15410","15520.0002","106","260","160","23","false","false"
"1","v2_only","1","18","16651","1","16559.999","16450","16559.999","90","244","160","10","false","false"
"1","v2_only","1","19","17141","1","16249.9997","16130.001","16559.999","900","1061","640","17","true","false"
"1","v2_only","1","20","17354","1","17280.0007","17050","17280.0007","71","314","80","71","false","false"
"1","v2_only","1","21","17606","1","17520.000500000002","17050","17520.000500000002","85","566","80","84","false","false"
"1","v2_only","1","22","18636","1","18559.999499999998","18490","18559.999499999998","75","154","80","76","false","false"
"1","v2_only","1","23","19677","1","19600.0004","19530","19600.0004","69","156","80","68","false","false"
"1","v2_only","1","24","20725","1","20639.9994","20570","20639.9994","84","165","160","0","false","false"
"1","v2_only","1","25","21379","1","20319.9997","20170","20639.9994","1054","1206","800","11","true","false"
"1","v2_only","1","26","21450","1","21360.0009","21279.999","21360.0009","82","160","160","8","false","false"
"1","v2_only","1","27","22164","1","22080.0002","21680","22080.0002","73","472","80","73","false","false"
"1","v2_only","1","28","23211","1","23120.0011","23119.999","23120.0011","91","91","160","11","false","false"
"1","v2_only","1","29","24246","1","24160.0002","23920","24160.0002","86","326","160","7","false","false"
"1","v2_only","1","30","24888","1","24760.000500000002","24560","24760.000500000002","167","326","200","7","true","true"
"1","v2_only","1","31","25837","1","25760","25400","25760","76","477","80","76","false","false"
"1","v2_only","1","32","26240","1","26079.9997","25400","26079.9997","159","880","160","79","true","true"
"1","v2_only","1","33","27192","1","27120.0009","27039.999000000003","27120.0009","72","152","80","72","false","false"
"1","v2_only","1","34","28231","1","28160","28080","28160","71","150","80","70","false","false"
"1","v2_only","1","35","29114","1","28959.9992","28720","28959.9992","153","393","160","73","true","true"
"1","v2_only","1","36","30071","1","30000.0009","29839.998","30000.0009","69","230","80","69","false","false"
"1","v2_only","1","37","31116","1","31040.0018","30880","31040.0018","76","236","80","75","false","false"
"1","v2_only","1","38","32164","1","32080.0027","31839.998","32080.0027","83","324","160","3","false","false"
"1","v2_only","1","39","33213","1","33120","33040","33120","92","172","160","12","false","false"
"1","v2_only","1","40","34090","1","33930.001000000004","33760","33930.001000000004","170","330","230","10","true","false"
"1","v2_only","1","41","35035","1","34959.9988","34890","34959.9988","74","155","80","74","false","false"
"1","v2_only","1","42","36086","1","35999.9997","35930","35999.9997","85","165","160","6","false","false"
"1","v2_only","1","43","37130","1","37040.0006","36970","37040.0006","90","169","160","10","false","false"
"1","v2_only","1","44","38179","1","38080.0015","38090","38080.0015","99","99","160","17","false","false"
"1","v2_only","1","45","39067","1","37700.0005","37450","38080.0015","1386","1627","1040","26","true","false"
"1","v2_only","1","46","39099","1","38959.9983","38900","38959.9983","139","219","160","59","false","false"
"1","v2_only","1","47","40078","1","39999.9992","39860","39999.9992","78","238","80","78","false","false"
"1","v2_only","1","48","40879","1","40779.998","40420.00199999999","40779.998","159","479","100","78","true","true"
"1","v2_only","1","49","41919","1","41840.0014","41739.998","41840.0014","79","240","80","79","false","false"
"1","v2_only","1","50","42957","1","42880.0023","42539.997","42880.0023","76","476","80","76","false","false"
"1","v2_only","1","51","43998","1","43919.9994","43820","43919.9994","76","238","80","76","false","false"
"1","v2_only","1","52","45041","1","44960.0003","44780","44960.0003","81","320","160","0","false","false"
"1","v2_only","1","53","45614","1","45520.0017","45100","45520.0017","95","573","160","14","false","false"
"1","v2_only","1","54","45767","1","45669.9994","45100","45669.9994","168","727","170","7","true","true"
"1","v2_only","1","55","46792","1","46720.003","46469.996999999996","46720.003","72","393","80","73","false","false"
"1","v2_only","1","56","47754","1","47680.0021","47109.997","47680.0021","73","714","80","73","false","false"
"1","v2_only","1","57","48804","1","48720.003","48550","48720.003","84","323","160","4","false","false"
"1","v2_only","1","58","49836","1","49760","49589.996","49760","75","315","80","75","false","false"
"1","v2_only","1","59","50177","1","50080.0037","49750","50080.0037","97","496","160","17","false","false"
"1","v2_only","1","60","50802","1","50010","49750","50080.0037","802","1121","800","1","true","false"
"1","v2_only","1","61","51109","1","51040.0026","50809.998","51040.0026","69","309","80","69","false","false"
"1","v2_only","1","62","51355","1","51220.0029","50890","51220.0029","155","475","140","75","true","true"
"1","v2_only","1","63","52307","1","52240.0005","52100.002","52240.0005","66","226","80","66","false","false"
"1","v2_only","1","64","53351","1","53279.9976","53220","53279.9976","72","151","80","71","false","false"
"1","v2_only","1","65","54400","1","54319.9985","54180","54319.9985","80","238","160","1","false","false"
"1","v2_only","1","66","55440","1","55359.9994","55220","55359.9994","80","240","160","0","false","false"
"1","v2_only","1","67","56329","1","56189.9974","56020","56189.9974","167","328","210","8","true","false"
"1","v2_only","1","68","57282","1","57200.0021","57230","57200.0021","81","81","80","80","false","false"
"1","v2_only","1","69","57992","1","57919.9995","57309.998","57919.9995","71","705","80","71","false","false"
"1","v2_only","1","70","59044","1","58960.0005","58750","58960.0005","85","323","160","4","false","false"
"1","v2_only","1","71","60218","1","60080.0032","59550","60080.0032","134","698","160","49","false","false"
"1","v2_only","1","72","60970","1","60880.0024","60910","60880.0024","89","89","160","9","false","false"
"1","v2_only","1","73","61324","1","59780.0002","59550","60880.0024","1562","1804","480","38","true","false"
"1","v2_only","1","74","61341","1","61200.002","60739.998","61200.002","136","620","160","55","false","false"
"1","v2_only","1","75","62331","1","62240.003","62100","62240.003","70","245","160","9","false","false"
"1","v2_only","1","76","63362","1","63280","63219.996999999996","63280","81","161","160","1","false","false"
"1","v2_only","1","77","64172","1","64019.998","63780","64019.998","172","402","220","3","true","true"
"1","v2_only","1","78","65121","1","65040.00429999999","","65040.00429999999","80","","160","1","false","false"
"1","v2_only","1","79","66160","1","66080.0052","65939.995","66080.0052","72","240","80","71","false","false"
"1","v2_only","1","80","67224","1","67120.006","66899.994","67120.006","104","341","160","23","false","false"
"1","v2_only","1","81","68249","1","68160.007","67939.995","68160.007","88","329","160","9","false","false"
"1","v2_only","1","82","68406","1","68320.003","67939.995","68320.003","85","486","160","6","false","false"
