"run","plan","response","receivedAtMs","socketGeneration","globalRegionEndMs","latestProviderConfirmedAudioMs","providerRegionLagMs","audioLiveEdgeLagMs","legacyLatestChunkToMessageMs","isFinal","speechFinal"
"1","","1","1178","1","1040","1040","68","80","67","false","false"
"1","","2","2608","1","2080","2080","345","400","11","false","false"
"1","","3","3821","1","3120","3120","475","480","58","false","false"
"1","","4","4496","1","4160","4160","66","80","65","false","false"
"1","","5","5390","1","4530","4530","569","510","47","true","true"
"1","","6","6896","1","5599.9997","5599.9997","882","880","49","false","false"
"1","","7","7443","1","6639.9997","6639.9997","303","320","53","false","false"
"1","","8","8328","1","7679.9996","7679.9996","82","160","0","false","false"
"1","","9","9407","1","8720","8720","78","80","78","false","false"
"1","","10","10335","1","8720","8720","1005","960","71","true","false"
"1","","11","10502","1","9760","9760","60","80","60","false","false"
"1","","12","11604","1","10800","10800","73","80","73","false","false"
"1","","13","12869","1","11970","11970","156","110","73","true","true"
"1","","14","13962","1","13039.9997","13039.9997","68","80","69","false","false"
"1","","15","15089","1","14079.9997","14079.9997","109","160","26","false","false"
"1","","16","15472","1","14479.9993","14479.9993","75","80","75","false","false"
"1","","17","16577","1","15520.0002","15520.0002","81","160","0","false","false"
"1","","18","17657","1","16559.999","16559.999","66","80","66","false","false"
"1","","19","18173","1","16249.9997","16559.999","935","560","77","true","false"
"1","","20","18432","1","17280.0007","17280.0007","68","80","69","false","false"
"1","","21","18691","1","17520.000500000002","17520.000500000002","78","80","78","false","false"
"1","","22","19815","1","18559.999499999998","18559.999499999998","85","160","1","false","false"
"1","","23","20992","1","19600.0004","19600.0004","179","240","12","false","false"
"1","","24","22437","1","20639.9994","20639.9994","540","560","42","false","false"
"1","","25","22706","1","20319.9997","20639.9994","1142","800","59","true","false"
"1","","26","22762","1","21360.0009","21360.0009","116","160","33","false","false"
"1","","27","23490","1","22080.0002","22080.0002","93","160","10","false","false"
"1","","28","24562","1","23120.0011","23120.0011","86","160","0","false","false"
"1","","29","25649","1","24160.0002","24160.0002","85","160","1","false","false"
"1","","30","26315","1","24760.000500000002","24760.000500000002","168","200","1","true","true"
"1","","31","27302","1","25760","25760","72","80","72","false","false"
"1","","32","27718","1","26079.9997","26079.9997","156","160","72","true","true"
"1","","33","28709","1","27120.0009","27120.0009","62","80","63","false","false"
"1","","34","29802","1","28160","28160","72","80","72","false","false"
"1","","35","30722","1","28959.9992","28959.9992","158","160","77","true","true"
"1","","36","31742","1","30000.0009","30000.0009","78","80","79","false","false"
"1","","37","32937","1","31040.0018","31040.0018","177","240","9","false","false"
"1","","38","33935","1","32080.0027","32080.0027","88","160","6","false","false"
"1","","39","35035","1","33120","33120","104","160","21","false","false"
"1","","40","36039","1","33930.001000000004","33930.001000000004","258","310","11","true","false"
"1","","41","37069","1","34959.9988","34959.9988","205","240","39","false","false"
"1","","42","38027","1","35999.9997","35999.9997","82","160","1","false","false"
"1","","43","39294","1","37040.0006","37040.0006","266","320","14","false","false"
"1","","44","40486","1","38080.0015","38080.0015","372","400","40","false","false"
"1","","45","41117","1","37700.0005","38080.0015","1420","1040","5","true","false"
"1","","46","41155","1","38959.9983","38959.9983","125","160","43","false","false"
"1","","47","42221","1","39999.9992","39999.9992","107","160","26","false","false"
