"run","mode","round","response","receivedAtMs","socketGeneration","globalRegionEndMs","globalLatestWordEndMs","latestProviderConfirmedAudioMs","providerRegionLagMs","latestWordLagMs","audioLiveEdgeLagMs","legacyLatestChunkToMessageMs","isFinal","speechFinal"
"1","vr_full","1","1","2068","1","1040","","1040","1026","","1040","58","false","false"
"1","vr_full","1","2","2241","1","1840","1439.9999","1840","400","801","400","81","true","true"
"1","vr_full","1","3","2954","1","2880.0001","2639.9999","2880.0001","72","313","80","71","false","false"
"1","vr_full","1","4","3541","1","3410","3040","3410","167","498","190","15","true","true"
"1","vr_full","1","5","4558","1","4479.9999","","4479.9999","77","","80","77","false","false"
"1","vr_full","1","6","5587","1","5520","5330","5520","60","303","80","59","false","false"
"1","vr_full","1","7","6244","1","6110","5730","6110","151","562","210","1","true","true"
"1","vr_full","1","8","7196","1","7119.9998","","7119.9998","70","","80","70","false","false"
"1","vr_full","1","9","8236","1","8119.9998","7710","8119.9998","154","545","120","69","true","true"
"1","vr_full","1","10","9192","1","9120","8920","9120","70","303","80","70","false","false"
"1","vr_full","1","11","9764","1","9649.999699999998","9240","9649.999699999998","160","561","190","0","true","true"
"1","vr_full","1","12","10789","1","10720.0006","","10720.0006","62","","80","62","false","false"
"1","vr_full","1","13","11836","1","11760.0006","11650","11760.0006","71","233","80","71","false","false"
"1","vr_full","1","14","12397","1","12270.0008","11809.999","12270.0008","154","631","130","69","true","true"
"1","vr_full","1","15","13367","1","13279.9993","13070.001","13279.9993","83","323","160","6","false","false"
"1","vr_full","1","16","14397","1","14319.9992","14190.001","14319.9992","75","237","80","75","false","false"
"1","vr_full","1","17","14803","1","14709.9996","14270","14709.9996","157","560","170","0","true","true"
"1","vr_full","1","18","15839","1","15760.0002","","15760.0002","79","","80","79","false","false"
"1","vr_full","1","19","16885","1","16799.9992","","16799.9992","82","","80","82","false","false"
"1","vr_full","1","20","17911","1","17840","","17840","68","","80","68","false","false"
"2","vr_full","1","1","1071","2","1040","960","1040","27","106","80","27","false","false"
"2","vr_full","1","2","2122","2","2080","1920","2080","36","198","80","37","false","false"
"2","vr_full","1","3","3151","2","3120","2960","3120","28","183","80","28","false","false"
"2","vr_full","1","4","4216","2","4160","4080","4160","51","130","80","51","false","false"
"2","vr_full","1","5","4628","2","4530","4240","4530","141","379","110","68","true","true"
"2","vr_full","1","6","5640","2","5599.9997","5250","5599.9997","37","436","80","37","false","false"
"2","vr_full","1","7","6679","2","6639.9997","6450.0003","6639.9997","35","275","80","35","false","false"
"2","vr_full","1","8","7734","2","7679.9996","7570","7679.9996","47","214","80","48","false","false"
"2","vr_full","1","9","8779","2","8720","8530.001","8720","58","295","80","58","false","false"
"2","vr_full","1","10","9663","2","8720","8530.001","8720","943","1179","960","59","true","false"
"2","vr_full","1","11","9810","2","9760","9520","9760","40","286","80","39","false","false"
"2","vr_full","1","12","10845","2","10800","10640","10800","41","203","80","42","false","false"
"2","vr_full","1","13","12044","2","11970","11440.001","11970","124","596","110","41","true","true"
"2","vr_full","1","14","13096","2","13039.9997","12930","13039.9997","48","210","80","48","false","false"
"2","vr_full","1","15","14127","2","14079.9997","14050","14079.9997","41","124","80","41","false","false"
"2","vr_full","1","16","14616","2","14479.9993","14130","14479.9993","130","530","160","54","false","false"
"2","vr_full","1","17","15576","2","15520.0002","15410","15520.0002","56","214","80","56","false","false"
"2","vr_full","1","18","16630","2","16559.999","16450","16559.999","69","226","80","70","false","false"
"2","vr_full","1","19","17107","2","16249.9997","16130.001","16559.999","866","1021","560","66","true","false"
"2","vr_full","1","20","17313","2","17280.0007","17050","17280.0007","27","272","80","27","false","false"
"2","vr_full","1","21","17560","2","17520.000500000002","17050","17520.000500000002","40","519","80","40","false","false"
"2","vr_full","1","22","18609","2","18559.999499999998","18490","18559.999499999998","39","127","80","39","false","false"
"2","vr_full","1","23","19647","2","19600.0004","19530","19600.0004","44","126","80","44","false","false"
"2","vr_full","1","24","20716","2","20639.9994","20570","20639.9994","75","154","80","75","false","false"
"2","vr_full","1","25","21333","2","20319.9997","20170","20639.9994","1013","1172","720","46","true","false"
"2","vr_full","1","26","21410","2","21360.0009","21279.999","21360.0009","49","124","80","49","false","false"
"2","vr_full","1","27","22136","2","22080.0002","21680","22080.0002","56","452","80","56","false","false"
"2","vr_full","1","28","23176","2","23120.0011","23119.999","23120.0011","56","56","80","56","false","false"
"2","vr_full","1","29","24222","2","24160.0002","23920","24160.0002","60","299","80","59","false","false"
"2","vr_full","1","30","24851","2","24760.000500000002","24560","24760.000500000002","126","291","120","47","true","true"
"2","vr_full","1","31","25824","2","25760","25400","25760","55","462","80","55","false","false"
"2","vr_full","1","32","26200","2","26079.9997","25400","26079.9997","120","837","160","40","true","true"
"2","vr_full","1","33","27177","2","27120.0009","27039.999000000003","27120.0009","57","124","80","57","false","false"
"2","vr_full","1","34","28214","2","28160","28080","28160","43","127","80","43","false","false"
"2","vr_full","1","35","29096","2","28959.9992","28720","28959.9992","131","376","160","52","true","true"
"2","vr_full","1","36","30042","2","30000.0009","29839.998","30000.0009","39","189","80","38","false","false"
"2","vr_full","1","37","31101","2","31040.0018","30880","31040.0018","59","214","80","60","false","false"
"2","vr_full","1","38","32143","2","32080.0027","31839.998","32080.0027","56","303","80","56","false","false"
"2","vr_full","1","39","33217","2","33120","33040","33120","97","163","160","13","false","false"
"2","vr_full","1","40","34049","2","33930.001000000004","33760","33930.001000000004","129","278","150","45","true","false"
"2","vr_full","1","41","35012","2","34959.9988","34890","34959.9988","43","125","80","44","false","false"
"2","vr_full","1","42","36064","2","35999.9997","35930","35999.9997","60","144","80","60","false","false"
"2","vr_full","1","43","37119","2","37040.0006","36970","37040.0006","69","149","80","69","false","false"
"2","vr_full","1","44","38374","2","38080.0015","38090","38080.0015","289","289","320","53","false","false"
"2","vr_full","1","45","39048","2","37700.0005","37450","38080.0015","1362","1602","1040","1","true","false"
"2","vr_full","1","46","39059","2","38959.9983","38900","38959.9983","90","171","160","12","false","false"
"2","vr_full","1","47","40138","2","39999.9992","39860","39999.9992","134","285","160","53","false","false"
"2","vr_full","1","48","40855","2","40779.998","40420.00199999999","40779.998","135","451","100","51","true","true"
"2","vr_full","1","49","41883","2","41840.0014","41739.998","41840.0014","42","200","80","42","false","false"
"2","vr_full","1","50","42951","2","42880.0023","42539.997","42880.0023","65","463","80","65","false","false"
"2","vr_full","1","51","43995","2","43919.9994","43820","43919.9994","74","223","80","74","false","false"
"2","vr_full","1","52","45016","2","44960.0003","44780","44960.0003","46","294","80","46","false","false"
"2","vr_full","1","53","45595","2","45520.0017","45100","45520.0017","74","552","80","74","false","false"
"2","vr_full","1","54","45764","2","45669.9994","45100","45669.9994","148","721","170","0","true","true"
"2","vr_full","1","55","46770","2","46720.003","46469.996999999996","46720.003","49","365","80","49","false","false"
"2","vr_full","1","56","47752","2","47680.0021","47109.997","47680.0021","70","707","80","70","false","false"
"2","vr_full","1","57","48782","2","48720.003","48550","48720.003","55","294","80","55","false","false"
"2","vr_full","1","58","49818","2","49760","49589.996","49760","49","297","80","49","false","false"
"2","vr_full","1","59","50147","2","50080.0037","49750","50080.0037","67","460","80","67","false","false"
"2","vr_full","1","60","50793","2","50010","49750","50080.0037","792","1106","720","72","true","false"
"2","vr_full","1","61","51108","2","51040.0026","50809.998","51040.0026","66","298","80","66","false","false"
"2","vr_full","1","62","51341","2","51220.0029","50890","51220.0029","137","454","140","53","true","true"
"2","vr_full","1","63","52286","2","52240.0005","52100.002","52240.0005","36","198","80","36","false","false"
"2","vr_full","1","64","53333","2","53279.9976","53220","53279.9976","53","131","80","53","false","false"
"2","vr_full","1","65","54394","2","54319.9985","54180","54319.9985","73","230","80","73","false","false"
"2","vr_full","1","66","55430","2","55359.9994","55220","55359.9994","65","226","80","65","false","false"
"2","vr_full","1","67","56317","2","56189.9974","56020","56189.9974","155","315","130","71","true","false"
"2","vr_full","1","68","57260","2","57200.0021","57230","57200.0021","55","55","80","55","false","false"
"2","vr_full","1","69","57987","2","57919.9995","57309.998","57919.9995","66","703","80","66","false","false"
"2","vr_full","1","70","59056","2","58960.0005","58750","58960.0005","88","335","160","10","false","false"
"2","vr_full","1","71","60218","2","60080.0032","59550","60080.0032","138","697","160","57","false","false"
"2","vr_full","1","72","61027","2","60880.0024","60910","60880.0024","140","140","160","60","false","false"
